Status,url,Country,Date,treaty
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=950C,Fiji,"December 1, 1971",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=951C,Finland,"April 1, 1928",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=952C,France,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=953C,Gabon,"March 26, 1962",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=954C,Gambia,"March 7, 1993",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=955C,Georgia,"May 16, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=956C,Germany,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=957C,Ghana,"October 11, 1991",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=958C,Greece,"November 9, 1920",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=959C,Grenada,"September 22, 1998",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=960C,Guatemala,"July 28, 1997",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=961C,Guinea,"November 20, 1980",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=962C,Guinea-Bissau,"July 22, 1991",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=963C,Guyana,"October 25, 1994",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=964C,Haiti,"January 11, 1996",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=965C,Holy See,"September 12, 1935",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=966C,Honduras,"January 25, 1990",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=967C,Hungary,"February 14, 1922",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=968C,Iceland,"September 7, 1947",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=969C,India,"April 1, 1928",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=970C,Indonesia,"September 5, 1997",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=971C,Ireland,"October 5, 1927",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=972C,Israel,"March 24, 1950",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=973C,Italy,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=974C,Jamaica,"January 1, 1994",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=975C,Japan,"July 15, 1899",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=976C,Jordan,"July 28, 1999",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=977C,Kazakhstan,"April 12, 1999",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=978C,Kenya,"June 11, 1993",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=979C,Kyrgyzstan,"July 8, 1999",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=10146C,Lao People's Democratic Republic,"March 14, 2012",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=980C,Latvia,"August 11, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=981C,Lebanon,"September 30, 1947",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=982C,Lesotho,"September 28, 1989",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=983C,Liberia,"March 8, 1989",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=984C,Libya,"September 28, 1976",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=985C,Liechtenstein,"July 30, 1931",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=986C,Lithuania,"December 14, 1994",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=987C,Luxembourg,"June 20, 1888",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=988C,Madagascar,"January 1, 1966",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=989C,Malawi,"October 12, 1991",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=990C,Malaysia,"October 1, 1990",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=991C,Mali,"March 19, 1962",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=992C,Malta,"September 21, 1964",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=993C,Mauritania,"February 6, 1973",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=994C,Mauritius,"May 10, 1989",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=995C,Mexico,"June 11, 1967",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1746C,Micronesia (Federated States of),"October 7, 2003",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=996C,Monaco,"May 30, 1889",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=997C,Mongolia,"March 12, 1998",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1953C,Montenegro,"June 3, 2006",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=998C,Morocco,"June 16, 1917",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=999C,Namibia,"March 21, 1990",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1853C,Nepal,"January 11, 2006",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1000C,Netherlands,"November 1, 1912",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1001C,New Zealand,"April 24, 1928",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1002C,Nicaragua,"August 23, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1003C,Niger,"May 2, 1962",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1004C,Nigeria,"September 14, 1993",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1005C,Norway,"April 13, 1896",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1006C,Oman,"July 14, 1999",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1747C,Pakistan,"July 5, 1948",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1007C,Panama,"June 8, 1996",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1008C,Paraguay,"January 2, 1992",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1009C,Peru,"August 20, 1988",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1010C,Philippines,"August 1, 1951",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1011C,Poland,"January 28, 1920",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1012C,Portugal,"March 29, 1911",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1013C,Qatar,"July 5, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1014C,Republic of Korea,"August 21, 1996",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1015C,Republic of Moldova,"November 2, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1016C,Romania,"January 1, 1927",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1017C,Russian Federation,"March 13, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1018C,Rwanda,"March 1, 1984",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1019C,Saint Kitts and Nevis,"April 9, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1020C,Saint Lucia,"August 24, 1993",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1021C,Saint Vincent and the Grenadines,"August 29, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1925C,Samoa,"July 21, 2006",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1748C,Saudi Arabia,"March 11, 2004",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1022C,Senegal,"August 25, 1962",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1393C,Serbia,"April 27, 1992",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1023C,Singapore,"December 21, 1998",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1024C,Slovakia,"January 1, 1993",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1025C,Slovenia,"June 25, 1991",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1026C,South Africa,"October 3, 1928",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1027C,Spain,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1028C,Sri Lanka,"July 20, 1959",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1029C,Sudan,"December 28, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1030C,Suriname,"February 23, 1977",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1031C,Swaziland,"December 14, 1998",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1032C,Sweden,"August 1, 1904",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1033C,Switzerland,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1749C,Syrian Arab Republic,"June 11, 2004",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1034C,Tajikistan,"March 9, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1035C,Thailand,"July 17, 1931",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1036C,the former Yugoslav Republic of Macedonia,"September 8, 1991",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1037C,Togo,"April 30, 1975",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1038C,Tonga,"June 14, 2001",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1039C,Trinidad and Tobago,"August 16, 1988",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1040C,Tunisia,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1041C,Turkey,"January 1, 1952",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1042C,Ukraine,"October 25, 1995",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1750C,United Arab Emirates,"July 14, 2004",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1043C,United Kingdom,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1044C,United Republic of Tanzania,"July 25, 1994",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1045C,United States of America,"March 1, 1989",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1046C,Uruguay,"July 10, 1967",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1826C,Uzbekistan,"April 19, 2005",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=2430C,Venezuela (Bolivarian Republic of),"December 30, 1982",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1792C,Viet Nam,"October 26, 2004",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=2019C,Yemen,"July 14, 2008",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1048C,Zambia,"January 2, 1992",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1049C,Zimbabwe,"April 18, 1980",Berne Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1688C,Argentina,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1221C,Armenia,"December 13, 1993",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1222C,Australia,"October 26, 1990",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1223C,Austria,"August 6, 1982",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1984C,Bahrain,"May 1, 2007",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1689C,Belgium,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1224C,Bosnia and Herzegovina,"March 6, 1992",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1690C,Brazil,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=7965C,Chile,"June 8, 2011",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1225C,Costa Rica,"June 25, 1999",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1691C,Côte d'Ivoire,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1226C,Croatia,"October 8, 1991",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1692C,Cyprus,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=3233C,El Salvador,"July 22, 2008",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1693C,France,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1227C,Germany,"August 25, 1979",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1228C,Greece,"October 22, 1991",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=2012C,Honduras,"April 7, 2008",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1694C,Israel,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1229C,Italy,"July 7, 1981",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1230C,Jamaica,"January 12, 2000",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1231C,Kenya,"August 25, 1979",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1696C,Lebanon,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1232C,Mexico,"August 25, 1979",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1947C,Montenegro,"June 3, 2006",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1233C,Morocco,"June 30, 1983",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1234C,Nicaragua,"August 25, 1979",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=2017C,Oman,"March 18, 2008",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1235C,Panama,"September 25, 1985",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1236C,Peru,"August 7, 1985",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1237C,Portugal,"March 11, 1996",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=2025C,Republic of Moldova,"October 28, 2008",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1238C,Russian Federation,"January 20, 1989",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1794C,Rwanda,"July 25, 2001",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1697C,Senegal,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1394C,Serbia,"April 27, 1992",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1861C,Singapore,"April 27, 2005",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1239C,Slovenia,"June 25, 1991",Brussels Convention
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1698C,Spain,,Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1240C,Switzerland,"September 24, 1993",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1241C,the former Yugoslav Republic of Macedonia,"November 17, 1991",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1795C,Togo,"June 10, 2003",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1242C,Trinidad and Tobago,"November 1, 1996",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1243C,United States of America,"March 7, 1985",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1860C,Viet Nam,"January 12, 2006",Brussels Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=341C,Algeria,"July 5, 1972",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=342C,Brazil,"October 3, 1896",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=343C,Bulgaria,"August 12, 1975",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=344C,Cuba,"January 1, 1905",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=345C,Czech Republic,"January 1, 1993",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=346C,Dominican Republic,"April 6, 1951",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=347C,Egypt,"July 1, 1952",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=348C,France,"July 15, 1892",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=349C,Germany,"June 12, 1925",Madrid Agreement (Indications of Source)
,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=7925C,Guatemala,,Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=350C,Hungary,"June 5, 1934",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1716C,Iran (Islamic Republic of),"June 18, 2004",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=351C,Ireland,"December 4, 1925",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=352C,Israel,"March 24, 1950",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=353C,Italy,"March 5, 1951",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=354C,Japan,"July 8, 1953",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=355C,Lebanon,"September 1, 1924",Madrid Agreement (Indications of Source)
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=356C,Liechtenstein,"July 14, 1933",Madrid Agreement (Indications of Source)
