Chapter,Country,Ratification,Treaty,Signature
Charter of the United Nations and Statute of the International Court of Justice,Argentina,24 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Australia,1 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Belarus,24 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Belgium,27 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Bolivia (Plurinational State of),14 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Brazil,21 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Canada,9 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Chile,11 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,China,28 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Colombia,5 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Costa Rica,2 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Cuba,15 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Denmark,9 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Dominican Republic,4 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Ecuador,21 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Egypt,22 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,El Salvador,26 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Ethiopia,13 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,France,31 Aug 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Greece,25 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Guatemala,21 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Haiti,27 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Honduras,17 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,India,30 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Iran (Islamic Republic of),16 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Iraq,21 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Lebanon,15 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Liberia,2 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Luxembourg,17 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Mexico,7 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Netherlands,10 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,New Zealand,19 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Nicaragua,6 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Norway,27 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Panama,13 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Paraguay,12 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Peru,31 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Philippines,11 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Poland,24 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Russian Federation,24 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Saudi Arabia,18 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,South Africa,7 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Syrian Arab Republic,19 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Turkey,28 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Ukraine,24 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,United Kingdom of Great Britain and Northern Ireland,20 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,United States of America,8 Aug 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Uruguay,18 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Venezuela (Bolivarian Republic of),15 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Afghanistan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Albania,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Algeria,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Andorra,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Angola,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Antigua and Barbuda,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Armenia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Austria,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Azerbaijan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Bahamas,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Bahrain,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Bangladesh,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Barbados,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Belize,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Benin,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Bhutan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Bosnia and Herzegovina,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Botswana,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Brunei Darussalam,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Bulgaria,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Burkina Faso,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Burundi,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Cambodia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Cameroon,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Cape Verde,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Central African Republic,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Chad,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Comoros,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Congo,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Côte d'Ivoire,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Croatia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Cyprus,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Czech Republic,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Democratic People's Republic of Korea,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Democratic Republic of the Congo,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Djibouti,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Dominica,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Equatorial Guinea,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Eritrea,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Estonia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Fiji,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Finland,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Gabon,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Gambia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Georgia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Germany,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Ghana,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Grenada,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Guinea,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Guinea-Bissau,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Guyana,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Hungary,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Iceland,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Indonesia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Ireland,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Israel,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Italy,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Jamaica,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Japan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Jordan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Kazakhstan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Kenya,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Kiribati,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Kuwait,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Kyrgyzstan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Lao People's Democratic Republic,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Latvia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Lesotho,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Libyan Arab Jamahiriya,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Liechtenstein,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Lithuania,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Madagascar,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Malawi,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Malaysia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Maldives,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Mali,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Malta,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Marshall Islands,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Mauritania,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Mauritius,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Micronesia (Federated States of),,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Moldova,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Monaco,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Mongolia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Montenegro,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Morocco,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Mozambique,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Myanmar,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Namibia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Nauru,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Nepal,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Niger,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Nigeria,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Oman,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Pakistan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Palau,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Papua New Guinea,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Portugal,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Qatar,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Republic of Korea,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Romania,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Rwanda,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Samoa,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,San Marino,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Sao Tome and Principe,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Senegal,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Serbia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Seychelles,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Sierra Leone,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Singapore,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Slovakia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Slovenia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Solomon Islands,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Somalia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,South Sudan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Spain,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Sri Lanka,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,St. Kitts and Nevis,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,St. Lucia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,St. Vincent and the Grenadines,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Sudan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Suriname,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Swaziland,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Sweden,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Switzerland,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Tajikistan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Thailand,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,The former Yugoslav Republic of Macedonia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Timor-Leste,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Togo,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Tonga,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Trinidad and Tobago,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Tunisia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Turkmenistan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Tuvalu,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Uganda,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,United Arab Emirates,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,United Republic of Tanzania,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Uzbekistan,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Vanuatu,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Viet Nam,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Yemen,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Zambia,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Zimbabwe,,Declarations of acceptance of the obligations contained in the Charter of the United Nations.   ,
Charter of the United Nations and Statute of the International Court of Justice,Nauru,,Statute of the International Court of Justice (deposited in the archives of the Government of the United States of America).   ,
Charter of the United Nations and Statute of the International Court of Justice,Australia,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Austria,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Barbados,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Belgium,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Bolivia,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Botswana,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Brazil,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Bulgaria,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Cambodia,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
